Speaker 1:  This is the trans groups.
Speaker 111:  [BLANK_AUDIO]
Speaker 112:  for this bit of data.
Speaker 35:  Before it goes through restaurant, it's going to pull the data for transcript. It's just going to pull the transcript ID. It's not going to pull the transcript. It just pulls the transcript ID for the day. So that's the only information that I'll get from the database to show.
Speaker 35:  All of the days transcripts, but when you click the actual transcript is when you'll get the code that's post.
Speaker 6:  That's what would be pulling the transcript text data field from the database in that case this specific Okay, and as the the history one the far right one impulse the transcript ID creates the little Not like little buttons you can click and then
Speaker 4:  This one is pulling the transcript text data.
Speaker 6:  Which is Bernard's code. This is...
Speaker 115:  Bernard's so which
Speaker 116:  Which button will be pulling the transcript AI response? The middle one.
Speaker 118:  different field okay
Speaker 6:  Like right now it says like this is what they generated but I know that specifically for this one it's going to have to pull the data to...
Speaker 119:  Okay, be able to do this.
Speaker 120:  And that...
Speaker 121:  So the L.M. would have to be fed with...
Speaker 121:  script ID. I think that's what would be I guess.
Speaker 5:  for an arts piece would be calling my piece, sending a transcript ID of like, this is the transcript I just stored. And then my picks that ID up. And it's like, okay, I'm putting the AI response for this transcript. I'm pulling the transcript text data from the database. And then I'm storing.
Speaker 5:  Transcope AI response to that same transcript after completion in this case
Speaker 122:  Wait, do we?
Speaker 123:  Do we want to store it like that?
Speaker 124:  which part, story.
Speaker 22:  the chat-gpt-parst version of the transcript. Do we want to directly back into the transcript?
Speaker 109:  In a different field okay, okay, yeah Okay, okay, okay, okay
Speaker 125:  sense.
Speaker 63:  for the ones that aren't restaurant, we would need...
Speaker 63:  the API is going to be different we would need no I don't know they're not just for a mess up
Speaker 27:  I think it's still the same glow here, but yes, you're right that the API will be processing different information from the AI response for each transcript based on the industry. And I think the rest of those are.
Speaker 63:  I'll just figure it out.
Speaker 69:  We still need to do the chat box in the search feature. Yeah.
Speaker 127:  that I don't know
Speaker 35:  The chat box should be hard, it should just be a widget. The search button as well should just be a widget. So hopefully Flutter is already cool enough that it does it for us.
Speaker 31:  I'll take a look at that here on the side. I'll sign that to myself speaking
Speaker 103:  of widgets did we still want to implement that?
Speaker 22:  little live audio, spread to gram when you're recording.
Speaker 128:  I'm gonna say no
Speaker 103:  Okay, because I thought that would be kind of easy to implement because the last team just used the library for that.
Speaker 131:  Okay, I was gonna do it if no one else wanted to but okay, sure.
Speaker 132:  I like... I like...
Speaker 35:  the way that yours does like the little like record button when you click it that was perfect for me like I felt that was more than enough for anyone that like you click the button it starts recording it shows you that it's recording and then when you press the red button even my two and a half year old daughter knows how to press the red button
Speaker 134:  and it will be a...
Speaker 135:  Spectrogram.
Speaker 22:  or, well, specifically, the one...
Speaker 22:  that I think they were using, I'll just drop the package and chat. Yeah, it's just uh...
Speaker 131:  audio waveforms.
Speaker 137:  Wiggling audio. I don't know what to call it.
Speaker 138:  The voice speaking squiggle line.
Speaker 139:  Yeah, yeah.
Speaker 140:  We've put you every time.
Speaker 141:  That's how to get, yeah.
Speaker 142:  and we'll see you on the next one.
Speaker 69:  I can hear my daughter acting a full upstairs. Some trussers are with pal. She's dirty.
Speaker 5:  Yeah, these are the fields that I was talking about earlier. Can you take text data? I'll turn the script A and response. Okay.
Speaker 143:  Yeah, that makes sense.
Speaker 144:  And also...
Speaker 145:  My goodness, my eyes.
Speaker 5:  What was the other thing? Jesus totally shit. Yeah, so I can probably have a function for each industry here or maybe even just an if statement in one of them. If the industry is passed, so I guess.
Speaker 146:  Perhaps the...
Speaker 146:  his chirpa, he's would pass along.
Speaker 57:  which industry and which transcript ID So that this knows which context I agree with and which Transcriptical yeah um
Speaker 109:  And I suppose, I'm a witch.
Speaker 27:  that the Sherpa piece is triggered on one talent which industry like the you I would have to pass your book which industry that it's
Speaker 149:  the same for.
Speaker 150:  um
Speaker 22:  So sure it is.
Speaker 22:  And looking at Brian's database code, he only identifies the transcripts by ID.
Speaker 151:  at least
Speaker 152:  under U V A, U
Speaker 6:  So did you code your API in the industry menu or do you call it in the industry menu?
Speaker 6:  Yes, I believe so then it will know that the industry menu will know which industry it's on It's not he would just have to take Okay, yeah, I could just take the title yeah Okay, yeah, I could just take the title yeah
Speaker 63:  Okay, so you take title. So after your API, sorry, you're speech attacks runs, it would and then directly after hands it would prompt Xander's code in the end.
Speaker 63:  this menu, then you would be able to take the title and the new ID.
Speaker 153:  Yeah, and then I put it in the break and push it to the pass. Yeah, and then I know we brush it to this page.
Speaker 154:  I like that I can talk it out loud, but then I'm coding it and stuff.
Speaker 157:  has been fucking terrible for me.
Speaker 158:  - Yeah.
Speaker 35:  you want done with this ticket, the create filtering and search features for the transcripts. What exactly do you want? That's a transcript history page. So if you want to adjust it to that, it's specifically what the professor asked for on the history page, whatever you.
Speaker 63:  I'm looking at your list of transcript IDs before you click on them. He wants to be able to search for specific items within the files that like.
Speaker 35:  for the doctor wanting to be able to search for keywords and then the chat bot would be the same concept like hey what am I supposed to do for this and it should take from the database and look for that information so I should just be querying for information.
Speaker 35:  So it might be able to just get away without doing the search feature and just do the chat box and chat. Is the chat box should be able to do that. We could always.
Speaker 161:  trying to search far into the chat feature too. Just when you guys are referencing the chat feature, what are you anticipating that hooking up to?
Speaker 162:  the internet.
Speaker 5:  Because I think what he wants us to do is use like...
Speaker 5:  For instance, the chat TPT assistance module where it has the context of just our application in terms of, quote, chatting, that goes to the greater internet. That sounds way better. I like what you're thinking. But what I'm saying is that non-truity people.
Speaker 5:  I mean, I'm not saying it. Yeah, we done. I'm just saying.
Speaker 164:  another piece to consider.
Speaker 35:  If we just do a search feature that is a little search bar that will literally just query the transcript data.
Speaker 6:  Or the like the just the database equaries for that industry and it looks for that information like that's plenty. I think that'll be more than enough. Do you want it to look up like cheese burger or like yeah? Yeah
Speaker 27:  Yeah, pretty much. So this is sounding like it'd be asking how many of my recent orders have included G burgers or like how many customers have asked for pickles on their burger within the past three days or something along those lines. I think that's the check.
Speaker 6:  version of that. I think that if we just stick with the search version it would be more like it would be more like
Speaker 63:  How many pills was I supposed to take? And then it would look for that, or you could type in the date, and it would bring up the transfers from that date. I don't know how advanced we want to get into it with how little time we have left. I think that as long as we have the search bar there, and it can just filter information.
Speaker 4:  I doubt he as long as we don't accidentally present that I don't think he'll notice because there's already enough fucking functionality in this thing that he's not gonna remember everything he said
Speaker 5:  Alright, that's a good start. So it'll just be clearing.
Speaker 5:  that there may be enough database queries to start with.
Speaker 5:  like this based on keywords like it would be keyword or like
Speaker 165:  pilot to for the win. I guarantee you I can do it.
Speaker 31:  I just got a tune in by UI assignment and
Speaker 167:  and I can hit this with all I got. Yes.
Speaker 168:  taking two classes of time. It's like you're cheating on me. To be there, I should be able to have that UI.
Speaker 169:  I think done by, um, five months.
Speaker 170:  night.
Speaker 31:  So realistically, I will have the rest of this week to take care of it.
Speaker 149:  That's good. That's what I wanted to make sure that we look at it so we have what three weeks of.
Speaker 69:  Yeah, okay, so then Xander some chevors screen up. Can you pull up the PowerPoint?
Speaker 171:  in the end of the episode.
Speaker 172:  I went on this way, right? Yes, we have threefold. You see how yesterday?
Speaker 173:  So do many of those.
Speaker 174:  We'll also break.
Speaker 6:  Yeah, how far are you from being able to just take the speech to text and put it in the database?
Speaker 175:  already know that I should craft that the professor wants.
Speaker 176:  I mean...
Speaker 177:  Theoretically.
Speaker 178:  At this point, I should just be able to...
Speaker 22:  hook up some kind of call to the uh and
Speaker 22:  transcript button or just stop recording button so that when it's toggles it
Speaker 22:  just also grabs the conversation pulls out the transcript and passes it along to the database. So I don't think that'll be too rough.
Speaker 27:  Can you go to the critical path page? And with that also trigger Like I can put up a draft PRC, but with that trigger my API
Speaker 116:  as well to generate that next summary as well.
Speaker 179:  that's toppled.
Speaker 180:  Okay, so here's another thing.
Speaker 181:  [INAUDIBLE]
Speaker 180:  We do need to do some kind of error correction, I believe.
Speaker 22:  Or am I? That was yes. Okay, so the best place to do that is immediately after the transcript is or the conversation is generated. That's kind of funny because I wrote down that as a question and bring up this evening. What stage we want to do include the correct?
Speaker 182:  corrective measures.
Speaker 183:  So yeah, I'm thinking we add-
Speaker 184:  another tab.
Speaker 22:  in between the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and the recording and
Speaker 22:  rest of them where
Speaker 22:  Once you finish the recording, it immediately goes there.
Speaker 131:  gives you kind of a
Speaker 103:  Segment by segment.
Speaker 22:  Kind of like a messenger app kind of recording of what was said and then you can just scroll through it real quick. If you tap on it, it lets you correct it.
Speaker 22:  any egregious mistakes and then at the bottom you hit a confirm and once you confirm it says it's a database triggers everything else. I can do that. I can do that. How did you write that in the notes?
Speaker 186:  I got that, I can make that happen. Okay, just throw around.
Speaker 121:  if we get every throw up kind of button, then you and there, one, two.
Speaker 121:  for that to be a separate piece.
Speaker 154:  Yeah, that doesn't seem like I'll be able to make that happen really quickly and I like I like the idea because it's like it would just be the text of it and then you go to click it and correct whatever the hell you want
Speaker 168:  The next stage is so already is a con bomb task for manual transcription correction.
Speaker 31:  Yeah, also in a tepetric in the null
Speaker 70:  Uh, good notes. Okay, so that one's good. I have next week off, not this week, but the following week. So at a minimum, I can absolutely power through some fucking hard cutting.
Speaker 187:  Just panic
Speaker 188:  All right, so.
Speaker 5:  So what is actually well, this is a later step, but I'm just looking at the common board so the So the So the So the
Speaker 27:  I don't know. I'm confused. So we have an implement. Oh, sorry. Yeah, we have an implement. We have an implement.
Speaker 5:  Reattime notification for complete transcription, but in this case that we're talking about then
Speaker 27:  for the initial completion or would that be for
Speaker 27:  One day are done making their head. It goes off to the LLM. Is it once the while these are asynchronous? I don't know if there's a so direct way to say this is done other than it's been stored in the database so currently um when you
Speaker 22:  Hit the stop recording button. It doesn't.
Speaker 22:  like maybe five more seconds of processing and then it's done. It doesn't really have anything else that you can do.
Speaker 22:  that point is where it would be passed off to the edit or correct.
Speaker 22:  direction, UI. And then once that is confirmed, then it would directly pass off to the LLM or chat tbt. So I don't think we need any real time notifications. I don't think we need any real time notifications. I don't think we need any real time notifications. I don't think we need any real time notifications. I don't think we need any real time notifications.
Speaker 189:  [BLANK_AUDIO]
Speaker 27:  I think there's a way to mark some stuff with OBE.
Speaker 190:  Oh, I just...
Speaker 191:  been deleting things I'm sorry
Speaker 88:  - In terms of our... - Correct.
Speaker 5:  I don't know if I can do it.
Speaker 4:  Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word docs still with the Word.
Speaker 175:  Original plan that we had so at a minimum their stuff on there. I also have notes
Speaker 193:  Okay, is this on there? Yeah.
Speaker 5:  I'm gonna be a little credit. I'm gonna put over here and work it is done.
Speaker 194:  be afraid to delete it after as long as it was.
Speaker 196:  I'm sorry
Speaker 197:  text first what happened
Speaker 198:  I can't have all my documents open at once. You're going to crash my computer.
Speaker 199:  - Okay.
Speaker 175:  Alright, what else do we got into this? Do you add any corrections options? That's me.
Speaker 200:  "implement speaker identification. Got to hate everything about that. I'm sorry, Bernard." No, so... Yeah.
Speaker 201:  It's been...
Speaker 202:  It's been awful.
Speaker 200:  I love how he literally just didn't listen to you. You're like, "Hey, I have all this expertise because I've been researching it." I don't know anything that I'm happy about, but I want you to do it. So I mean, what he said kind of made sense and...
Speaker 131:  that did put me down a path where I could not do speaker dialization, but instead do speaker identification. The only problem is, like I told him, it's still not nearly good enough, especially on mobile to actually be accurate and useful.
Speaker 154:  I just don't understand how he thought that if you Trump it off and now you have your context
Speaker 6:  different files with speakers that are all different numbers but they're need to somehow be recombined with their original voice. I was like, "No, I don't think you realize how naturalistic it is." You're just like, "Yeah, if you just map them all until the LLM to map it all across the jungle."
Speaker 203:  It's gonna be spider man
Speaker 37:  he was like he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like oh just me get so that he was like he was like oh just me get so that he was like he was like oh just me get so that he was like he was like he was like oh just me get so that he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was like he was
Speaker 37:  There's a gap in speech.
Speaker 204:  a new speaker and I was like...
Speaker 205:  And the other thing I thought about, what about those feelings?
Speaker 207:  Oh yeah.
Speaker 131:  Yeah, that's like the major problem with it because I've been having it run during this conversation and it's already up to like well over 200 speakers.
Speaker 208:  Yeah, that's my thing.
Speaker 213:  Even if...
Speaker 214:  I don't know. I know a lot of people when they're ordering from tape.
Speaker 219:  there
Speaker 220:  I don't think he understands what he's asking for.
Speaker 180:  this entire thing
Speaker 103:  get a super rough mock up of what it could be, but to actually polish this and make it a
Speaker 221:  You have to have either a s--
Speaker 22:  someone who hyper focuses on this kind of stuff. Just working on it for a year or you need an entire team of people like Suno AI presumably does.
Speaker 37:  I was just he keeps comparing us to like other teams that have successfully done this and I'm like
Speaker 37:  how much money do those teams have and how many developers do those teams have that it is their job
Speaker 225:  Yeah.
Speaker 233:  I think.
Speaker 236:  Hello
Speaker 238:  That was good. We got the right. See it right there.
Speaker 240:  Just snuck in
Speaker 242:  Oh, I'm so busy.
Speaker 27:  I'm just talking about how helpful it is that your database is. I'm just still already ready.
Speaker 246:  Also, I'm sick. Which doesn't know. That doesn't matter.
Speaker 247:  I'm tired of being sick all the time.
Speaker 248:  There we go.
